title,month,metric,estimate,sensitivity_low,sensitivity_high,observed_game_runtime_avg_ccu,observed_legacy_pass_avg_ccu,denominator_ccu,estimated_share_pct,month_hours,confidence,method,range_type,observed,scope,source_url,calibration_source_url,estimated_player_hours,player_hours_sensitivity_low,player_hours_sensitivity_high,method_version,production_enabled,usage_policy,historical_transfer_share,assumed_pass_attribution_fraction,assumed_incremental_hosts_per_guest
It Takes Two,2024-06-01,estimated_total_pass_client_avg_ccu,1429.586120902836,1242.8669175261844,1802.9829944203464,5089.57,394.29,5483.86,26.0689755191204,720,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1029302.0070500419,894864.1806188527,1298147.7559826493,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-07-01,estimated_total_pass_client_avg_ccu,2099.780378036143,1825.5266526255837,2648.2268247160773,7802.97,251.74,8054.71,26.0689755191204,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1562236.6012588902,1358191.8295534342,1970280.7575887616,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-08-01,estimated_total_pass_client_avg_ccu,1621.0888150662945,1409.3573161896688,2044.504715926947,5955.72,262.74,6218.46,26.068975519120404,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1206090.078409323,1048561.8432451136,1521111.5086496486,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-09-01,estimated_total_pass_client_avg_ccu,2146.3578165961553,1866.0205806533602,2706.9699311434993,7965.37,268.01,8233.38,26.068975519120404,720,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1545377.6279492318,1343534.8180704194,1949018.3504233195,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-10-01,estimated_total_pass_client_avg_ccu,1395.3705905339905,1213.1203005583347,1759.830631300633,5165.45,187.16,5352.61,26.068975519120404,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1038155.7193572889,902561.5036154011,1309313.989687671,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-11-01,estimated_total_pass_client_avg_ccu,1823.7829204201114,1585.5774083116655,2300.1409589476752,6805.28,190.71,6995.99,26.0689755191204,720,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1313123.7027024801,1141615.7339843991,1656101.4904423263,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2024-12-01,estimated_total_pass_client_avg_ccu,4275.7499439244675,3717.291372108491,5392.542865777811,16147.44,254.24,16401.68,26.068975519120404,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,3181157.958279804,2765664.7808487173,4012051.8921386916,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2025-01-01,estimated_total_pass_client_avg_ccu,3921.4803873122764,3409.293200216692,4945.740832186979,14796.4,246.31,15042.71,26.0689755191204,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,2917581.4081603335,2536514.140961219,3679631.179147112,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2025-02-01,estimated_total_pass_client_avg_ccu,3900.8024759305104,3391.3160447280075,4919.6620097667455,14763.48,199.91,14963.39,26.068975519120404,672,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,2621339.263825303,2278964.382057221,3306012.870563253,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2025-03-01,estimated_total_pass_client_avg_ccu,3316.127492987678,2883.005853981394,4182.2744287770865,12522.67,197.92,12720.59,26.068975519120404,744,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,2467198.8547828323,2144956.3553621573,3111612.175010152,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
It Takes Two,2025-04-01,estimated_total_pass_client_avg_ccu,1936.8127844759135,1683.8443659110578,2442.693352101544,7326.13,103.44,7429.57,26.0689755191204,720,low; historical transfer unvalidated,historical_client_mix_transfer_v1,historical_mix_sensitivity,False,"Steam client activity, includes legacy and shared-runtime estimate",https://steamcharts.com/app/1426210,https://steamcharts.com/app/1504980,1394505.2048226576,1212367.9434559615,1758739.2135131117,qualified_planning_v1,False,"scenario_input_only; propagate method, scope, confidence and range",0.260689755191204,,
